Date,Region,Sales_Rep,Product,Quantity,Unit_Price,Total_Sale
2025-11-23,North,Chika,Printer,6,1228,7368
2025-11-23,North,Alice,Laptop,5,602,3010
2025-11-23,South,Alice,Headphones,4,104,416
2025-11-23,East,David,Mouse,5,378,1890
2025-11-23,West,Chika,Headphones,3,658,1974
2025-11-23,North,Ben,Monitor,3,722,2166
2025-11-23,South,Ben,Keyboard,3,1046,3138
2025-11-23,North,David,Headphones,5,681,3405
2025-11-23,West,Ben,Webcam,5,1112,5560
2025-11-23,South,Ella,Headphones,8,646,5168
2025-11-23,South,Ben,Keyboard,5,1285,6425
2025-11-23,East,Chika,Laptop,2,827,1654
2025-11-23,South,Alice,Headphones,1,1046,1046
2025-11-23,South,Alice,Keyboard,1,802,802
2025-11-23,North,Alice,Monitor,9,91,819
2025-11-23,South,Chika,Mouse,1,442,442
2025-11-23,West,Ben,Mouse,3,125,375
2025-11-23,North,Alice,Webcam,6,731,4386
2025-11-23,East,David,Printer,2,162,324
2025-11-23,West,Ella,Keyboard,8,930,7440
2025-11-23,North,David,Mouse,7,958,6706
2025-11-23,North,Ella,Headphones,1,723,723
2025-11-23,West,Chika,Printer,5,70,350
2025-11-23,East,Ella,Printer,2,781,1562
2025-11-23,East,Chika,Headphones,1,1334,1334
2025-11-23,North,Ben,Monitor,4,1373,5492
2025-11-23,East,David,Printer,2,605,1210
2025-11-23,South,Ben,Monitor,7,363,2541
2025-11-23,South,Ella,Keyboard,8,439,3512
2025-11-23,West,Chika,Webcam,9,1013,9117
2025-11-23,West,Ella,Keyboard,2,99,198
2025-11-23,North,Alice,Laptop,2,226,452
2025-11-23,North,Ben,Headphones,8,854,6832
2025-11-23,South,Alice,Printer,4,720,2880
2025-11-23,West,David,Headphones,7,79,553
2025-11-23,West,Ben,Laptop,8,395,3160
2025-11-23,West,Ben,Mouse,2,715,1430
2025-11-23,East,David,Laptop,7,451,3157
2025-11-23,North,Alice,Headphones,3,488,1464
2025-11-23,South,Ben,Laptop,6,1422,8532
2025-11-23,West,David,Monitor,9,202,1818
2025-11-23,East,Ben,Keyboard,5,1120,5600
2025-11-23,East,Chika,Mouse,4,189,756
2025-11-23,West,Ben,Printer,6,787,4722
2025-11-23,West,Chika,Printer,1,1348,1348
2025-11-23,North,Ben,Monitor,1,327,327
2025-11-23,East,David,Mouse,9,342,3078
2025-11-23,East,Ella,Mouse,4,285,1140
2025-11-23,North,David,Mouse,3,611,1833
2025-11-23,North,Ella,Printer,5,1459,7295
2025-11-23,East,Chika,Mouse,6,1339,8034
2025-11-23,North,Ben,Monitor,5,670,3350
2025-11-23,West,Alice,Keyboard,5,328,1640
2025-11-23,South,Alice,Printer,7,546,3822
2025-11-23,East,Ben,Keyboard,6,279,1674
2025-11-23,West,Ben,Keyboard,2,1394,2788
2025-11-23,South,David,Keyboard,8,559,4472
2025-11-23,West,Chika,Keyboard,2,677,1354
2025-11-23,South,David,Printer,6,965,5790
2025-11-23,North,David,Webcam,4,745,2980
2025-11-23,South,Chika,Keyboard,6,140,840
2025-11-23,North,Ben,Headphones,5,1441,7205
2025-11-23,North,Alice,Laptop,4,212,848
2025-11-23,North,Ella,Printer,3,265,795
2025-11-23,South,Alice,Keyboard,8,1171,9368
2025-11-23,East,David,Headphones,9,486,4374
